311:	test: 0.8037057	best: 0.8037383 (307)	total: 8.35s	remaining: 18.4s
312:	test: 0.8037103	best: 0.8037383 (307)	total: 8.37s	remaining: 18.4s
313:	test: 0.8037136	best: 0.8037383 (307)	total: 8.4s	remaining: 18.4s
314:	test: 0.8037208	best: 0.8037383 (307)	total: 8.43s	remaining: 18.3s
315:	test: 0.8037182	best: 0.8037383 (307)	total: 8.46s	remaining: 18.3s
316:	test: 0.8037114	best: 0.8037383 (307)	total: 8.48s	remaining: 18.3s
317:	test: 0.8037114	best: 0.8037383 (307)	total: 8.5s	remaining: 18.2s
318:	test: 0.8037117	best: 0.8037383 (307)	total: 8.53s	remaining: 18.2s
319:	test: 0.8037117	best: 0.8037383 (307)	total: 8.55s	remaining: 18.2s
320:	test: 0.8037232	best: 0.8037383 (307)	total: 8.57s	remaining: 18.1s
321:	test: 0.8037348	best: 0.8037383 (307)	total: 8.6s	remaining: 18.1s
322:	test: 0.8037350	best: 0.8037383 (307)	total: 8.62s	remaining: 18.1s
323:	test: 0.8037246	best: 0.8037383 (307)	total: 8.65s	remaining: 18s
324:	test: 0.8037267	best: 0.8037383 (307)	total: 8.68s	remaining: 18s
325:	test: 0.8037268	best: 0.8037383 (307)	total: 8.7s	remaining: 18s
326:	test: 0.8037327	best: 0.8037383 (307)	total: 8.72s	remaining: 18s
327:	test: 0.8037445	best: 0.8037445 (327)	total: 8.75s	remaining: 17.9s
