237:	test: 0.9434300	best: 0.9434300 (237)	total: 1.3s	remaining: 4.17s
238:	test: 0.9434913	best: 0.9434913 (238)	total: 1.31s	remaining: 4.17s
239:	test: 0.9435221	best: 0.9435221 (239)	total: 1.31s	remaining: 4.16s
240:	test: 0.9435990	best: 0.9435990 (240)	total: 1.32s	remaining: 4.15s
241:	test: 0.9436171	best: 0.9436171 (241)	total: 1.32s	remaining: 4.15s
242:	test: 0.9436445	best: 0.9436445 (242)	total: 1.33s	remaining: 4.14s
243:	test: 0.9436499	best: 0.9436499 (243)	total: 1.33s	remaining: 4.14s
244:	test: 0.9436912	best: 0.9436912 (244)	total: 1.34s	remaining: 4.13s
245:	test: 0.9437039	best: 0.9437039 (245)	total: 1.34s	remaining: 4.12s
246:	test: 0.9437553	best: 0.9437553 (246)	total: 1.35s	remaining: 4.11s
247:	test: 0.9437741	best: 0.9437741 (247)	total: 1.35s	remaining: 4.1s
248:	test: 0.9437816	best: 0.9437816 (248)	total: 1.36s	remaining: 4.1s
249:	test: 0.9437707	best: 0.9437816 (248)	total: 1.36s	remaining: 4.09s
250:	test: 0.9438302	best: 0.9438302 (250)	total: 1.37s	remaining: 4.08s
251:	test: 0.9438696	best: 0.9438696 (251)	total: 1.37s	remaining: 4.08s
252:	test: 0.9438547	best: 0.9438696 (251)	total: 1.38s	remaining: 4.07s
253:	test: 0.9438996	best: 0.9438996 (253)	total: 1.38s	remaining: 4.07s
254:	test: 0.9438956	best: 0.9438996 (253)	total: 1.39s	remaining: 4.06s
255:	test: 0.9439038	best: 0.9439038 (255)	total: 1.39s	remaining: 4.05s
256:	test: 0.9439030	best: 0.9439038 (255)	total: 1.4s	remaining: 4.05s
257:	test: 0.9438907	best: 0.9439038 (255)	total: 1.41s	remaining: 4.04s
258:	test: 0.9439003	best: 0.9439038 (255)	total: 1.41s	remaining: 4.04s
259:	test: 0.9439332	best: 0.9439332 (259)	total: 1.42s	remaining: 4.03s
260:	test: 0.9439213	best: 0.9439332 (259)	total: 1.42s	remaining: 4.02s
261:	test: 0.9439770	best: 0.9439770 (261)	total: 1.43s	remaining: 4.01s
262:	test: 0.9439983	best: 0.9439983 (262)	total: 1.43s	remaining: 4.01s
263:	test: 0.9440097	best: 0.9440097 (263)	total: 1.44s	remaining: 4s
264:	test: 0.9440050	best: 0.9440097 (263)	total: 1.44s	remaining: 4s
265:	test: 0.9440430	best: 0.9440430 (265)	total: 1.45s	remaining: 3.99s
266:	test: 0.9440255	best: 0.9440430 (265)	total: 1.45s	remaining: 3.99s
267:	test: 0.9440421	best: 0.9440430 (265)	total: 1.46s	remaining: 3.98s
268:	test: 0.9440767	best: 0.9440767 (268)	total: 1.46s	remaining: 3.98s
269:	test: 0.9440897	best: 0.9440897 (269)	total: 1.47s	remaining: 3.97s
270:	test: 0.9441261	best: 0.9441261 (270)	total: 1.47s	remaining: 3.96s
271:	test: 0.9441680	best: 0.9441680 (271)	total: 1.48s	remaining: 3.96s
272:	test: 0.9441728	best: 0.9441728 (272)	total: 1.48s	remaining: 3.95s
273:	test: 0.9442301	best: 0.9442301 (273)	total: 1.49s	remaining: 3.94s
274:	test: 0.9442461	best: 0.9442461 (274)	total: 1.49s	remaining: 3.94s
275:	test: 0.9443589	best: 0.9443589 (275)	total: 1.5s	remaining: 3.93s
276:	test: 0.9443952	best: 0.9443952 (276)	total: 1.5s	remaining: 3.92s
277:	test: 0.9444345	best: 0.9444345 (277)	total: 1.51s	remaining: 3.92s
278:	test: 0.9444649	best: 0.9444649 (278)	total: 1.51s	remaining: 3.91s
279:	test: 0.9444854	best: 0.9444854 (279)	total: 1.52s	remaining: 3.9s
280:	test: 0.9445522	best: 0.9445522 (280)	total: 1.52s	remaining: 3.9s
