160:	test: 0.8027828	best: 0.8027887 (159)	total: 4.26s	remaining: 22.2s
161:	test: 0.8027918	best: 0.8027918 (161)	total: 4.28s	remaining: 22.2s
162:	test: 0.8028131	best: 0.8028131 (162)	total: 4.3s	remaining: 22.1s
163:	test: 0.8028192	best: 0.8028192 (163)	total: 4.33s	remaining: 22.1s
164:	test: 0.8028194	best: 0.8028194 (164)	total: 4.36s	remaining: 22s
165:	test: 0.8028307	best: 0.8028307 (165)	total: 4.38s	remaining: 22s
166:	test: 0.8028131	best: 0.8028307 (165)	total: 4.41s	remaining: 22s
167:	test: 0.8028325	best: 0.8028325 (167)	total: 4.43s	remaining: 21.9s
168:	test: 0.8028871	best: 0.8028871 (168)	total: 4.46s	remaining: 21.9s
169:	test: 0.8028898	best: 0.8028898 (169)	total: 4.48s	remaining: 21.9s
170:	test: 0.8029172	best: 0.8029172 (170)	total: 4.51s	remaining: 21.9s
171:	test: 0.8029336	best: 0.8029336 (171)	total: 4.54s	remaining: 21.9s
172:	test: 0.8029579	best: 0.8029579 (172)	total: 4.57s	remaining: 21.8s
173:	test: 0.8029667	best: 0.8029667 (173)	total: 4.6s	remaining: 21.8s
174:	test: 0.8029661	best: 0.8029667 (173)	total: 4.62s	remaining: 21.8s
175:	test: 0.8029592	best: 0.8029667 (173)	total: 4.65s	remaining: 21.8s
176:	test: 0.8029417	best: 0.8029667 (173)	total: 4.67s	remaining: 21.7s
177:	test: 0.8029533	best: 0.8029667 (173)	total: 4.7s	remaining: 21.7s
178:	test: 0.8029563	best: 0.8029667 (173)	total: 4.72s	remaining: 21.7s
179:	test: 0.8029799	best: 0.8029799 (179)	total: 4.75s	remaining: 21.6s
180:	test: 0.8029866	best: 0.8029866 (180)	total: 4.77s	remaining: 21.6s
181:	test: 0.8030003	best: 0.8030003 (181)	total: 4.8s	remaining: 21.6s
182:	test: 0.8030153	best: 0.8030153 (182)	total: 4.82s	remaining: 21.5s
183:	test: 0.8030137	best: 0.8030153 (182)	total: 4.85s	remaining: 21.5s
184:	test: 0.8030165	best: 0.8030165 (184)	total: 4.87s	remaining: 21.5s
185:	test: 0.8030277	best: 0.8030277 (185)	total: 4.89s	remaining: 21.4s
186:	test: 0.8030706	best: 0.8030706 (186)	total: 4.92s	remaining: 21.4s
187:	test: 0.8030715	best: 0.8030715 (187)	total: 4.94s	remaining: 21.3s
188:	test: 0.8030853	best: 0.8030853 (188)	total: 4.97s	remaining: 21.3s
189:	test: 0.8031123	best: 0.8031123 (189)	total: 4.99s	remaining: 21.3s
190:	test: 0.8031436	best: 0.8031436 (190)	total: 5.02s	remaining: 21.2s
191:	test: 0.8031376	best: 0.8031436 (190)	total: 5.04s	remaining: 21.2s
192:	test: 0.8031547	best: 0.8031547 (192)	total: 5.06s	remaining: 21.2s
193:	test: 0.8031438	best: 0.8031547 (192)	total: 5.09s	remaining: 21.1s
194:	test: 0.8031555	best: 0.8031555 (194)	total: 5.12s	remaining: 21.1s
195:	test: 0.8031713	best: 0.8031713 (195)	total: 5.14s	remaining: 21.1s
196:	test: 0.8031846	best: 0.8031846 (196)	total: 5.16s	remaining: 21.1s
197:	test: 0.8031983	best: 0.8031983 (197)	total: 5.19s	remaining: 21s
198:	test: 0.8032031	best: 0.8032031 (198)	total: 5.21s	remaining: 21s
199:	test: 0.8032229	best: 0.8032229 (199)	total: 5.24s	remaining: 21s
200:	test: 0.8032341	best: 0.8032341 (200)	total: 5.26s	remaining: 20.9s
201:	test: 0.8032269	best: 0.8032341 (200)	total: 5.29s	remaining: 20.9s
202:	test: 0.8032365	best: 0.8032365 (202)	total: 5.31s	remaining: 20.9s
203:	test: 0.8032326	best: 0.8032365 (202)	total: 5.34s	remaining: 20.8s
204:	test: 0.8032457	best: 0.8032457 (204)	total: 5.36s	remaining: 20.8s
205:	test: 0.8032494	best: 0.8032494 (205)	total: 5.38s	remaining: 20.8s
206:	test: 0.8032613	best: 0.8032613 (206)	total: 5.41s	remaining: 20.7s
207:	test: 0.8032345	best: 0.8032613 (206)	total: 5.43s	remaining: 20.7s
208:	test: 0.8032368	best: 0.8032613 (206)	total: 5.46s	remaining: 20.7s
209:	test: 0.8032442	best: 0.8032613 (206)	total: 5.49s	remaining: 20.6s
210:	test: 0.8032552	best: 0.8032613 (206)	total: 5.51s	remaining: 20.6s
211:	test: 0.8032755	best: 0.8032755 (211)	total: 5.54s	remaining: 20.6s
212:	test: 0.8032676	best: 0.8032755 (211)	total: 5.57s	remaining: 20.6s
213:	test: 0.8033092	best: 0.8033092 (213)	total: 5.6s	remaining: 20.6s
214:	test: 0.8033157	best: 0.8033157 (214)	total: 5.63s	remaining: 20.6s
215:	test: 0.8033164	best: 0.8033164 (215)	total: 5.66s	remaining: 20.5s
216:	test: 0.8033145	best: 0.8033164 (215)	total: 5.68s	remaining: 20.5s
217:	test: 0.8033200	best: 0.8033200 (217)	total: 5.71s	remaining: 20.5s
218:	test: 0.8033127	best: 0.8033200 (217)	total: 5.73s	remaining: 20.4s
219:	test: 0.8033201	best: 0.8033201 (219)	total: 5.75s	remaining: 20.4s
220:	test: 0.8033348	best: 0.8033348 (220)	total: 5.78s	remaining: 20.4s
221:	test: 0.8033626	best: 0.8033626 (221)	total: 5.81s	remaining: 20.4s
222:	test: 0.8033782	best: 0.8033782 (222)	total: 5.83s	remaining: 20.3s
223:	test: 0.8033846	best: 0.8033846 (223)	total: 5.86s	remaining: 20.3s
224:	test: 0.8033907	best: 0.8033907 (224)	total: 5.88s	remaining: 20.3s
