158:	test: 0.9263610	best: 0.9263610 (158)	total: 644ms	remaining: 3.4s
159:	test: 0.9263691	best: 0.9263691 (159)	total: 649ms	remaining: 3.4s
160:	test: 0.9263818	best: 0.9263818 (160)	total: 653ms	remaining: 3.4s
161:	test: 0.9263948	best: 0.9263948 (161)	total: 657ms	remaining: 3.4s
162:	test: 0.9263951	best: 0.9263951 (162)	total: 661ms	remaining: 3.39s
163:	test: 0.9264058	best: 0.9264058 (163)	total: 665ms	remaining: 3.39s
164:	test: 0.9264188	best: 0.9264188 (164)	total: 668ms	remaining: 3.38s
165:	test: 0.9264232	best: 0.9264232 (165)	total: 672ms	remaining: 3.38s
166:	test: 0.9264215	best: 0.9264232 (165)	total: 676ms	remaining: 3.37s
167:	test: 0.9264215	best: 0.9264232 (165)	total: 680ms	remaining: 3.37s
168:	test: 0.9264174	best: 0.9264232 (165)	total: 685ms	remaining: 3.37s
169:	test: 0.9264181	best: 0.9264232 (165)	total: 689ms	remaining: 3.36s
170:	test: 0.9264256	best: 0.9264256 (170)	total: 695ms	remaining: 3.37s
171:	test: 0.9264256	best: 0.9264256 (170)	total: 699ms	remaining: 3.36s
172:	test: 0.9264256	best: 0.9264256 (170)	total: 703ms	remaining: 3.36s
173:	test: 0.9264263	best: 0.9264263 (173)	total: 709ms	remaining: 3.36s
174:	test: 0.9264424	best: 0.9264424 (174)	total: 712ms	remaining: 3.36s
175:	test: 0.9264522	best: 0.9264522 (175)	total: 716ms	remaining: 3.35s
176:	test: 0.9264550	best: 0.9264550 (176)	total: 720ms	remaining: 3.35s
177:	test: 0.9264550	best: 0.9264550 (177)	total: 725ms	remaining: 3.35s
178:	test: 0.9264558	best: 0.9264558 (178)	total: 730ms	remaining: 3.35s
179:	test: 0.9264562	best: 0.9264562 (179)	total: 734ms	remaining: 3.35s
180:	test: 0.9264568	best: 0.9264568 (180)	total: 740ms	remaining: 3.35s
181:	test: 0.9264569	best: 0.9264569 (181)	total: 745ms	remaining: 3.35s
182:	test: 0.9264573	best: 0.9264573 (182)	total: 749ms	remaining: 3.34s
183:	test: 0.9264602	best: 0.9264602 (183)	total: 752ms	remaining: 3.34s
184:	test: 0.9264820	best: 0.9264820 (184)	total: 756ms	remaining: 3.33s
185:	test: 0.9264824	best: 0.9264824 (185)	total: 759ms	remaining: 3.32s
186:	test: 0.9264889	best: 0.9264889 (186)	total: 762ms	remaining: 3.31s
187:	test: 0.9264893	best: 0.9264893 (187)	total: 766ms	remaining: 3.31s
188:	test: 0.9264969	best: 0.9264969 (188)	total: 770ms	remaining: 3.3s
189:	test: 0.9264971	best: 0.9264971 (189)	total: 773ms	remaining: 3.29s
190:	test: 0.9264971	best: 0.9264971 (189)	total: 776ms	remaining: 3.29s
