261:	test: 0.9310982	best: 0.9310982 (261)	total: 891ms	remaining: 2.51s
262:	test: 0.9311026	best: 0.9311026 (262)	total: 894ms	remaining: 2.51s
263:	test: 0.9311019	best: 0.9311026 (262)	total: 898ms	remaining: 2.5s
264:	test: 0.9311364	best: 0.9311364 (264)	total: 900ms	remaining: 2.5s
265:	test: 0.9311370	best: 0.9311370 (265)	total: 903ms	remaining: 2.49s
266:	test: 0.9311432	best: 0.9311432 (266)	total: 906ms	remaining: 2.49s
267:	test: 0.9311598	best: 0.9311598 (267)	total: 910ms	remaining: 2.48s
268:	test: 0.9311679	best: 0.9311679 (268)	total: 912ms	remaining: 2.48s
269:	test: 0.9311894	best: 0.9311894 (269)	total: 915ms	remaining: 2.47s
270:	test: 0.9311900	best: 0.9311900 (270)	total: 918ms	remaining: 2.47s
271:	test: 0.9311937	best: 0.9311937 (271)	total: 921ms	remaining: 2.46s
272:	test: 0.9311796	best: 0.9311937 (271)	total: 923ms	remaining: 2.46s
273:	test: 0.9311937	best: 0.9311937 (271)	total: 926ms	remaining: 2.45s
274:	test: 0.9311876	best: 0.9311937 (271)	total: 930ms	remaining: 2.45s
275:	test: 0.9312017	best: 0.9312017 (275)	total: 932ms	remaining: 2.44s
276:	test: 0.9312344	best: 0.9312344 (276)	total: 935ms	remaining: 2.44s
277:	test: 0.9312473	best: 0.9312473 (277)	total: 938ms	remaining: 2.44s
278:	test: 0.9312381	best: 0.9312473 (277)	total: 942ms	remaining: 2.43s
279:	test: 0.9312535	best: 0.9312535 (279)	total: 944ms	remaining: 2.43s
280:	test: 0.9312504	best: 0.9312535 (279)	total: 947ms	remaining: 2.42s
281:	test: 0.9313219	best: 0.9313219 (281)	total: 950ms	remaining: 2.42s
282:	test: 0.9313108	best: 0.9313219 (281)	total: 953ms	remaining: 2.42s
283:	test: 0.9313299	best: 0.9313299 (283)	total: 956ms	remaining: 2.41s
284:	test: 0.9313884	best: 0.9313884 (284)	total: 959ms	remaining: 2.41s
285:	test: 0.9313896	best: 0.9313896 (285)	total: 963ms	remaining: 2.4s
286:	test: 0.9314001	best: 0.9314001 (286)	total: 966ms	remaining: 2.4s
287:	test: 0.9314106	best: 0.9314106 (287)	total: 970ms	remaining: 2.4s
288:	test: 0.9314099	best: 0.9314106 (287)	total: 972ms	remaining: 2.39s
289:	test: 0.9314272	best: 0.9314272 (289)	total: 976ms	remaining: 2.39s
290:	test: 0.9314549	best: 0.9314549 (290)	total: 980ms	remaining: 2.39s
291:	test: 0.9314512	best: 0.9314549 (290)	total: 983ms	remaining: 2.38s
292:	test: 0.9314475	best: 0.9314549 (290)	total: 986ms	remaining: 2.38s
293:	test: 0.9314500	best: 0.9314549 (290)	total: 991ms	remaining: 2.38s
294:	test: 0.9314561	best: 0.9314561 (294)	total: 994ms	remaining: 2.37s
295:	test: 0.9314783	best: 0.9314783 (295)	total: 997ms	remaining: 2.37s
296:	test: 0.9314780	best: 0.9314783 (295)	total: 1000ms	remaining: 2.37s
297:	test: 0.9314971	best: 0.9314971 (297)	total: 1s	remaining: 2.36s
298:	test: 0.9315008	best: 0.9315008 (298)	total: 1.01s	remaining: 2.36s
299:	test: 0.9315267	best: 0.9315267 (299)	total: 1.01s	remaining: 2.35s
300:	test: 0.9315242	best: 0.9315267 (299)	total: 1.01s	remaining: 2.35s
301:	test: 0.9315273	best: 0.9315273 (301)	total: 1.01s	remaining: 2.35s
302:	test: 0.9315242	best: 0.9315273 (301)	total: 1.02s	remaining: 2.34s
303:	test: 0.9315088	best: 0.9315273 (301)	total: 1.02s	remaining: 2.34s
304:	test: 0.9315107	best: 0.9315273 (301)	total: 1.02s	remaining: 2.33s
305:	test: 0.9315150	best: 0.9315273 (301)	total: 1.03s	remaining: 2.33s
306:	test: 0.9315248	best: 0.9315273 (301)	total: 1.03s	remaining: 2.33s
307:	test: 0.9315550	best: 0.9315550 (307)	total: 1.03s	remaining: 2.32s
308:	test: 0.9315772	best: 0.9315772 (308)	total: 1.04s	remaining: 2.32s
309:	test: 0.9315852	best: 0.9315852 (309)	total: 1.04s	remaining: 2.31s
310:	test: 0.9315907	best: 0.9315907 (310)	total: 1.04s	remaining: 2.31s
311:	test: 0.9315858	best: 0.9315907 (310)	total: 1.04s	remaining: 2.31s
312:	test: 0.9315889	best: 0.9315907 (310)	total: 1.05s	remaining: 2.3s
313:	test: 0.9315852	best: 0.9315907 (310)	total: 1.05s	remaining: 2.3s
314:	test: 0.9315852	best: 0.9315907 (310)	total: 1.05s	remaining: 2.3s
315:	test: 0.9315920	best: 0.9315920 (315)	total: 1.06s	remaining: 2.29s
316:	test: 0.9315772	best: 0.9315920 (315)	total: 1.06s	remaining: 2.29s
317:	test: 0.9315741	best: 0.9315920 (315)	total: 1.06s	remaining: 2.29s
318:	test: 0.9315895	best: 0.9315920 (315)	total: 1.07s	remaining: 2.28s
319:	test: 0.9315760	best: 0.9315920 (315)	total: 1.07s	remaining: 2.29s
320:	test: 0.9315790	best: 0.9315920 (315)	total: 1.08s	remaining: 2.28s
321:	test: 0.9315673	best: 0.9315920 (315)	total: 1.08s	remaining: 2.28s
322:	test: 0.9315698	best: 0.9315920 (315)	total: 1.08s	remaining: 2.27s
323:	test: 0.9315809	best: 0.9315920 (315)	total: 1.09s	remaining: 2.27s
324:	test: 0.9315944	best: 0.9315944 (324)	total: 1.09s	remaining: 2.27s
325:	test: 0.9316018	best: 0.9316018 (325)	total: 1.09s	remaining: 2.26s
326:	test: 0.9316148	best: 0.9316148 (326)	total: 1.1s	remaining: 2.26s
327:	test: 0.9316333	best: 0.9316333 (327)	total: 1.1s	remaining: 2.25s
328:	test: 0.9316240	best: 0.9316333 (327)	total: 1.1s	remaining: 2.25s
329:	test: 0.9316351	best: 0.9316351 (329)	total: 1.11s	remaining: 2.25s
330:	test: 0.9316400	best: 0.9316400 (330)	total: 1.11s	remaining: 2.24s
331:	test: 0.9316357	best: 0.9316400 (330)	total: 1.11s	remaining: 2.24s
