122:	test: 0.9486754	best: 0.9486754 (122)	total: 1.1s	remaining: 7.84s
123:	test: 0.9486939	best: 0.9486939 (123)	total: 1.11s	remaining: 7.82s
124:	test: 0.9486958	best: 0.9486958 (124)	total: 1.12s	remaining: 7.81s
125:	test: 0.9486997	best: 0.9486997 (125)	total: 1.12s	remaining: 7.79s
126:	test: 0.9486997	best: 0.9486997 (125)	total: 1.13s	remaining: 7.76s
127:	test: 0.9487113	best: 0.9487113 (127)	total: 1.14s	remaining: 7.74s
128:	test: 0.9487149	best: 0.9487149 (128)	total: 1.15s	remaining: 7.74s
129:	test: 0.9487149	best: 0.9487149 (128)	total: 1.15s	remaining: 7.7s
130:	test: 0.9487241	best: 0.9487241 (130)	total: 1.16s	remaining: 7.69s
131:	test: 0.9487246	best: 0.9487246 (131)	total: 1.17s	remaining: 7.67s
132:	test: 0.9487349	best: 0.9487349 (132)	total: 1.18s	remaining: 7.66s
133:	test: 0.9487521	best: 0.9487521 (133)	total: 1.18s	remaining: 7.65s
134:	test: 0.9487637	best: 0.9487637 (134)	total: 1.19s	remaining: 7.64s
135:	test: 0.9487670	best: 0.9487670 (135)	total: 1.2s	remaining: 7.63s
136:	test: 0.9487735	best: 0.9487735 (136)	total: 1.21s	remaining: 7.62s
137:	test: 0.9487804	best: 0.9487804 (137)	total: 1.22s	remaining: 7.63s
138:	test: 0.9487838	best: 0.9487838 (138)	total: 1.23s	remaining: 7.62s
139:	test: 0.9487827	best: 0.9487838 (138)	total: 1.24s	remaining: 7.61s
