163:	test: 0.8034495	best: 0.8034887 (162)	total: 12.8s	remaining: 1m 5s
164:	test: 0.8034544	best: 0.8034887 (162)	total: 12.8s	remaining: 1m 4s
165:	test: 0.8034544	best: 0.8034887 (162)	total: 12.9s	remaining: 1m 4s
166:	test: 0.8034518	best: 0.8034887 (162)	total: 13s	remaining: 1m 4s
167:	test: 0.8034517	best: 0.8034887 (162)	total: 13s	remaining: 1m 4s
168:	test: 0.8034519	best: 0.8034887 (162)	total: 13.1s	remaining: 1m 4s
169:	test: 0.8034519	best: 0.8034887 (162)	total: 13.1s	remaining: 1m 3s
170:	test: 0.8034519	best: 0.8034887 (162)	total: 13.1s	remaining: 1m 3s
171:	test: 0.8034538	best: 0.8034887 (162)	total: 13.2s	remaining: 1m 3s
172:	test: 0.8034542	best: 0.8034887 (162)	total: 13.3s	remaining: 1m 3s
173:	test: 0.8034490	best: 0.8034887 (162)	total: 13.3s	remaining: 1m 3s
174:	test: 0.8034502	best: 0.8034887 (162)	total: 13.4s	remaining: 1m 3s
[34m[1mwandb[39m[22m: Adding directory to artifact (./artifacts)... Done. 0.1s
175:	test: 0.8034716	best: 0.8034887 (162)	total: 13.5s	remaining: 1m 3s
176:	test: 0.8034716	best: 0.8034887 (162)	total: 13.5s	remaining: 1m 2s
177:	test: 0.8034721	best: 0.8034887 (162)	total: 13.6s	remaining: 1m 2s
178:	test: 0.8034719	best: 0.8034887 (162)	total: 13.6s	remaining: 1m 2s
179:	test: 0.8034649	best: 0.8034887 (162)	total: 13.7s	remaining: 1m 2s
180:	test: 0.8034649	best: 0.8034887 (162)	total: 13.8s	remaining: 1m 2s
181:	test: 0.8034649	best: 0.8034887 (162)	total: 13.8s	remaining: 1m 2s
182:	test: 0.8034654	best: 0.8034887 (162)	total: 13.8s	remaining: 1m 1s
Stopped by overfitting detector  (20 iterations wait)
bestTest = 0.8034886697
bestIteration = 162
Shrink model to first 163 iterations.
