226:	test: 0.9493673	best: 0.9493745 (224)	total: 2.94s	remaining: 10s
227:	test: 0.9493686	best: 0.9493745 (224)	total: 2.96s	remaining: 10s
228:	test: 0.9493597	best: 0.9493745 (224)	total: 2.97s	remaining: 9.99s
229:	test: 0.9493595	best: 0.9493745 (224)	total: 2.98s	remaining: 9.96s
230:	test: 0.9493572	best: 0.9493745 (224)	total: 2.98s	remaining: 9.93s
231:	test: 0.9493741	best: 0.9493745 (224)	total: 3s	remaining: 9.92s
232:	test: 0.9493737	best: 0.9493745 (224)	total: 3.01s	remaining: 9.9s
233:	test: 0.9493863	best: 0.9493863 (233)	total: 3.02s	remaining: 9.88s
234:	test: 0.9493903	best: 0.9493903 (234)	total: 3.03s	remaining: 9.86s
235:	test: 0.9493914	best: 0.9493914 (235)	total: 3.04s	remaining: 9.84s
236:	test: 0.9493987	best: 0.9493987 (236)	total: 3.05s	remaining: 9.82s
237:	test: 0.9494006	best: 0.9494006 (237)	total: 3.06s	remaining: 9.81s
238:	test: 0.9493958	best: 0.9494006 (237)	total: 3.08s	remaining: 9.8s
239:	test: 0.9493966	best: 0.9494006 (237)	total: 3.09s	remaining: 9.79s
240:	test: 0.9494076	best: 0.9494076 (240)	total: 3.11s	remaining: 9.78s
241:	test: 0.9494121	best: 0.9494121 (241)	total: 3.12s	remaining: 9.77s
242:	test: 0.9494119	best: 0.9494121 (241)	total: 3.13s	remaining: 9.75s
243:	test: 0.9494078	best: 0.9494121 (241)	total: 3.14s	remaining: 9.73s
244:	test: 0.9494115	best: 0.9494121 (241)	total: 3.15s	remaining: 9.71s
245:	test: 0.9494123	best: 0.9494123 (245)	total: 3.16s	remaining: 9.7s
246:	test: 0.9494121	best: 0.9494123 (245)	total: 3.17s	remaining: 9.68s
247:	test: 0.9494121	best: 0.9494123 (245)	total: 3.18s	remaining: 9.65s
248:	test: 0.9494113	best: 0.9494123 (245)	total: 3.19s	remaining: 9.63s
249:	test: 0.9494083	best: 0.9494123 (245)	total: 3.2s	remaining: 9.61s
250:	test: 0.9494165	best: 0.9494165 (250)	total: 3.22s	remaining: 9.6s
251:	test: 0.9494265	best: 0.9494265 (251)	total: 3.23s	remaining: 9.58s
252:	test: 0.9494292	best: 0.9494292 (252)	total: 3.24s	remaining: 9.56s
253:	test: 0.9494269	best: 0.9494292 (252)	total: 3.25s	remaining: 9.54s
254:	test: 0.9494317	best: 0.9494317 (254)	total: 3.26s	remaining: 9.52s
255:	test: 0.9494328	best: 0.9494328 (255)	total: 3.27s	remaining: 9.5s
256:	test: 0.9494361	best: 0.9494361 (256)	total: 3.28s	remaining: 9.49s
257:	test: 0.9494380	best: 0.9494380 (257)	total: 3.29s	remaining: 9.47s
[34m[1mwandb[39m[22m: Adding directory to artifact (./artifacts)... Done. 0.1s
258:	test: 0.9494504	best: 0.9494504 (258)	total: 3.3s	remaining: 9.45s
259:	test: 0.9494504	best: 0.9494504 (259)	total: 3.31s	remaining: 9.44s
260:	test: 0.9494481	best: 0.9494504 (259)	total: 3.32s	remaining: 9.41s
261:	test: 0.9494479	best: 0.9494504 (259)	total: 3.33s	remaining: 9.39s
262:	test: 0.9494530	best: 0.9494530 (262)	total: 3.34s	remaining: 9.37s
263:	test: 0.9494523	best: 0.9494530 (262)	total: 3.35s	remaining: 9.36s
264:	test: 0.9494521	best: 0.9494530 (262)	total: 3.36s	remaining: 9.33s
265:	test: 0.9494570	best: 0.9494570 (265)	total: 3.37s	remaining: 9.31s
266:	test: 0.9494714	best: 0.9494714 (266)	total: 3.38s	remaining: 9.29s
267:	test: 0.9494829	best: 0.9494829 (267)	total: 3.4s	remaining: 9.28s
268:	test: 0.9495063	best: 0.9495063 (268)	total: 3.41s	remaining: 9.26s
269:	test: 0.9495010	best: 0.9495063 (268)	total: 3.42s	remaining: 9.24s
270:	test: 0.9494925	best: 0.9495063 (268)	total: 3.43s	remaining: 9.22s
271:	test: 0.9494925	best: 0.9495063 (268)	total: 3.44s	remaining: 9.2s
272:	test: 0.9494950	best: 0.9495063 (268)	total: 3.45s	remaining: 9.18s
273:	test: 0.9494918	best: 0.9495063 (268)	total: 3.46s	remaining: 9.16s
274:	test: 0.9494946	best: 0.9495063 (268)	total: 3.47s	remaining: 9.14s
275:	test: 0.9494892	best: 0.9495063 (268)	total: 3.48s	remaining: 9.13s
276:	test: 0.9494892	best: 0.9495063 (268)	total: 3.48s	remaining: 9.1s
277:	test: 0.9494892	best: 0.9495063 (268)	total: 3.5s	remaining: 9.08s
278:	test: 0.9494874	best: 0.9495063 (268)	total: 3.5s	remaining: 9.06s
279:	test: 0.9494870	best: 0.9495063 (268)	total: 3.51s	remaining: 9.03s
280:	test: 0.9494887	best: 0.9495063 (268)	total: 3.52s	remaining: 9.02s
281:	test: 0.9494843	best: 0.9495063 (268)	total: 3.54s	remaining: 9s
282:	test: 0.9494825	best: 0.9495063 (268)	total: 3.55s	remaining: 8.98s
283:	test: 0.9494778	best: 0.9495063 (268)	total: 3.56s	remaining: 8.97s
284:	test: 0.9494777	best: 0.9495063 (268)	total: 3.56s	remaining: 8.94s
285:	test: 0.9494783	best: 0.9495063 (268)	total: 3.58s	remaining: 8.93s
286:	test: 0.9494784	best: 0.9495063 (268)	total: 3.58s	remaining: 8.9s
287:	test: 0.9494726	best: 0.9495063 (268)	total: 3.59s	remaining: 8.88s
288:	test: 0.9494720	best: 0.9495063 (268)	total: 3.6s	remaining: 8.86s
Stopped by overfitting detector  (20 iterations wait)
bestTest = 0.9495062641
bestIteration = 268
Shrink model to first 269 iterations.
