155:	test: 0.9488566	best: 0.9488566 (155)	total: 864ms	remaining: 4.67s
156:	test: 0.9488699	best: 0.9488699 (156)	total: 869ms	remaining: 4.67s
157:	test: 0.9488700	best: 0.9488700 (157)	total: 874ms	remaining: 4.66s
158:	test: 0.9488701	best: 0.9488701 (158)	total: 879ms	remaining: 4.65s
159:	test: 0.9488701	best: 0.9488701 (159)	total: 883ms	remaining: 4.63s
160:	test: 0.9488701	best: 0.9488701 (159)	total: 886ms	remaining: 4.62s
161:	test: 0.9488764	best: 0.9488764 (161)	total: 891ms	remaining: 4.61s
162:	test: 0.9488771	best: 0.9488771 (162)	total: 896ms	remaining: 4.6s
163:	test: 0.9488771	best: 0.9488771 (163)	total: 900ms	remaining: 4.59s
164:	test: 0.9488900	best: 0.9488900 (164)	total: 905ms	remaining: 4.58s
165:	test: 0.9488901	best: 0.9488901 (165)	total: 908ms	remaining: 4.56s
166:	test: 0.9488902	best: 0.9488902 (166)	total: 912ms	remaining: 4.55s
167:	test: 0.9488982	best: 0.9488982 (167)	total: 917ms	remaining: 4.54s
168:	test: 0.9489134	best: 0.9489134 (168)	total: 922ms	remaining: 4.53s
169:	test: 0.9489135	best: 0.9489135 (169)	total: 925ms	remaining: 4.52s
170:	test: 0.9489135	best: 0.9489135 (170)	total: 929ms	remaining: 4.5s
171:	test: 0.9489224	best: 0.9489224 (171)	total: 934ms	remaining: 4.5s
172:	test: 0.9489324	best: 0.9489324 (172)	total: 939ms	remaining: 4.49s
173:	test: 0.9489417	best: 0.9489417 (173)	total: 944ms	remaining: 4.48s
174:	test: 0.9489414	best: 0.9489417 (173)	total: 949ms	remaining: 4.47s
175:	test: 0.9489415	best: 0.9489417 (173)	total: 952ms	remaining: 4.46s
176:	test: 0.9489535	best: 0.9489535 (176)	total: 957ms	remaining: 4.45s
177:	test: 0.9489656	best: 0.9489656 (177)	total: 963ms	remaining: 4.44s
178:	test: 0.9489702	best: 0.9489702 (178)	total: 968ms	remaining: 4.44s
179:	test: 0.9489751	best: 0.9489751 (179)	total: 972ms	remaining: 4.43s
180:	test: 0.9489767	best: 0.9489767 (180)	total: 977ms	remaining: 4.42s
181:	test: 0.9489767	best: 0.9489767 (180)	total: 981ms	remaining: 4.41s
182:	test: 0.9489767	best: 0.9489767 (182)	total: 984ms	remaining: 4.39s
183:	test: 0.9489769	best: 0.9489769 (183)	total: 989ms	remaining: 4.38s
184:	test: 0.9489820	best: 0.9489820 (184)	total: 994ms	remaining: 4.38s
185:	test: 0.9489820	best: 0.9489820 (184)	total: 998ms	remaining: 4.37s
186:	test: 0.9489874	best: 0.9489874 (186)	total: 1s	remaining: 4.37s
187:	test: 0.9490055	best: 0.9490055 (187)	total: 1.01s	remaining: 4.36s
188:	test: 0.9490056	best: 0.9490056 (188)	total: 1.01s	remaining: 4.34s
189:	test: 0.9490056	best: 0.9490056 (189)	total: 1.02s	remaining: 4.33s
190:	test: 0.9490056	best: 0.9490056 (190)	total: 1.02s	remaining: 4.32s
191:	test: 0.9490058	best: 0.9490058 (191)	total: 1.02s	remaining: 4.31s
192:	test: 0.9490318	best: 0.9490318 (192)	total: 1.03s	remaining: 4.3s
193:	test: 0.9490318	best: 0.9490318 (192)	total: 1.03s	remaining: 4.29s
194:	test: 0.9490391	best: 0.9490391 (194)	total: 1.04s	remaining: 4.28s
195:	test: 0.9490391	best: 0.9490391 (195)	total: 1.04s	remaining: 4.27s
196:	test: 0.9490445	best: 0.9490445 (196)	total: 1.05s	remaining: 4.26s
197:	test: 0.9490621	best: 0.9490621 (197)	total: 1.05s	remaining: 4.26s
198:	test: 0.9490630	best: 0.9490630 (198)	total: 1.06s	remaining: 4.25s
199:	test: 0.9490630	best: 0.9490630 (199)	total: 1.06s	remaining: 4.25s
200:	test: 0.9490632	best: 0.9490632 (200)	total: 1.06s	remaining: 4.24s
201:	test: 0.9490632	best: 0.9490632 (201)	total: 1.07s	remaining: 4.22s
202:	test: 0.9490632	best: 0.9490632 (202)	total: 1.07s	remaining: 4.22s
203:	test: 0.9490652	best: 0.9490652 (203)	total: 1.08s	remaining: 4.21s
204:	test: 0.9490654	best: 0.9490654 (204)	total: 1.08s	remaining: 4.2s
205:	test: 0.9490758	best: 0.9490758 (205)	total: 1.09s	remaining: 4.2s
206:	test: 0.9490758	best: 0.9490758 (206)	total: 1.09s	remaining: 4.18s
207:	test: 0.9490775	best: 0.9490775 (207)	total: 1.1s	remaining: 4.17s
208:	test: 0.9490777	best: 0.9490777 (208)	total: 1.1s	remaining: 4.16s
209:	test: 0.9490776	best: 0.9490777 (208)	total: 1.1s	remaining: 4.15s
210:	test: 0.9490952	best: 0.9490952 (210)	total: 1.11s	remaining: 4.15s
211:	test: 0.9491032	best: 0.9491032 (211)	total: 1.11s	remaining: 4.14s
212:	test: 0.9491048	best: 0.9491048 (212)	total: 1.12s	remaining: 4.14s
213:	test: 0.9491108	best: 0.9491108 (213)	total: 1.12s	remaining: 4.13s
214:	test: 0.9491108	best: 0.9491108 (213)	total: 1.13s	remaining: 4.12s
215:	test: 0.9491113	best: 0.9491113 (215)	total: 1.13s	remaining: 4.11s
216:	test: 0.9491113	best: 0.9491113 (216)	total: 1.14s	remaining: 4.1s
217:	test: 0.9491212	best: 0.9491212 (217)	total: 1.14s	remaining: 4.1s
218:	test: 0.9491212	best: 0.9491212 (218)	total: 1.15s	remaining: 4.09s
219:	test: 0.9491215	best: 0.9491215 (219)	total: 1.15s	remaining: 4.08s
220:	test: 0.9491264	best: 0.9491264 (220)	total: 1.16s	remaining: 4.08s
221:	test: 0.9491264	best: 0.9491264 (220)	total: 1.16s	remaining: 4.06s
222:	test: 0.9491331	best: 0.9491331 (222)	total: 1.16s	remaining: 4.06s
223:	test: 0.9491332	best: 0.9491332 (223)	total: 1.17s	remaining: 4.05s
224:	test: 0.9491390	best: 0.9491390 (224)	total: 1.17s	remaining: 4.05s
225:	test: 0.9491391	best: 0.9491391 (225)	total: 1.18s	remaining: 4.04s
226:	test: 0.9491513	best: 0.9491513 (226)	total: 1.19s	remaining: 4.04s
227:	test: 0.9491583	best: 0.9491583 (227)	total: 1.19s	remaining: 4.04s
228:	test: 0.9491956	best: 0.9491956 (228)	total: 1.2s	remaining: 4.04s
229:	test: 0.9492240	best: 0.9492240 (229)	total: 1.21s	remaining: 4.04s
230:	test: 0.9492246	best: 0.9492246 (230)	total: 1.21s	remaining: 4.03s
231:	test: 0.9492253	best: 0.9492253 (231)	total: 1.22s	remaining: 4.02s
