247:	test: 0.9476521	best: 0.9476521 (247)	total: 3.74s	remaining: 11.3s
248:	test: 0.9476561	best: 0.9476561 (248)	total: 3.75s	remaining: 11.3s
249:	test: 0.9476640	best: 0.9476640 (249)	total: 3.77s	remaining: 11.3s
250:	test: 0.9476696	best: 0.9476696 (250)	total: 3.78s	remaining: 11.3s
251:	test: 0.9476840	best: 0.9476840 (251)	total: 3.79s	remaining: 11.3s
252:	test: 0.9476834	best: 0.9476840 (251)	total: 3.81s	remaining: 11.2s
253:	test: 0.9476987	best: 0.9476987 (253)	total: 3.82s	remaining: 11.2s
254:	test: 0.9477053	best: 0.9477053 (254)	total: 3.83s	remaining: 11.2s
255:	test: 0.9477043	best: 0.9477053 (254)	total: 3.85s	remaining: 11.2s
256:	test: 0.9477183	best: 0.9477183 (256)	total: 3.86s	remaining: 11.2s
257:	test: 0.9477273	best: 0.9477273 (257)	total: 3.87s	remaining: 11.1s
258:	test: 0.9477361	best: 0.9477361 (258)	total: 3.89s	remaining: 11.1s
259:	test: 0.9477353	best: 0.9477361 (258)	total: 3.9s	remaining: 11.1s
260:	test: 0.9477458	best: 0.9477458 (260)	total: 3.91s	remaining: 11.1s
261:	test: 0.9477517	best: 0.9477517 (261)	total: 3.93s	remaining: 11.1s
262:	test: 0.9477637	best: 0.9477637 (262)	total: 3.94s	remaining: 11s
263:	test: 0.9477778	best: 0.9477778 (263)	total: 3.95s	remaining: 11s
264:	test: 0.9477816	best: 0.9477816 (264)	total: 3.97s	remaining: 11s
265:	test: 0.9477921	best: 0.9477921 (265)	total: 3.98s	remaining: 11s
266:	test: 0.9477947	best: 0.9477947 (266)	total: 3.99s	remaining: 11s
267:	test: 0.9477983	best: 0.9477983 (267)	total: 4s	remaining: 10.9s
268:	test: 0.9477980	best: 0.9477983 (267)	total: 4.02s	remaining: 10.9s
269:	test: 0.9478074	best: 0.9478074 (269)	total: 4.03s	remaining: 10.9s
270:	test: 0.9478138	best: 0.9478138 (270)	total: 4.04s	remaining: 10.9s
271:	test: 0.9478222	best: 0.9478222 (271)	total: 4.06s	remaining: 10.9s
272:	test: 0.9478306	best: 0.9478306 (272)	total: 4.07s	remaining: 10.8s
273:	test: 0.9478364	best: 0.9478364 (273)	total: 4.08s	remaining: 10.8s
274:	test: 0.9478368	best: 0.9478368 (274)	total: 4.1s	remaining: 10.8s
275:	test: 0.9478427	best: 0.9478427 (275)	total: 4.11s	remaining: 10.8s
276:	test: 0.9478454	best: 0.9478454 (276)	total: 4.13s	remaining: 10.8s
277:	test: 0.9478500	best: 0.9478500 (277)	total: 4.14s	remaining: 10.8s
278:	test: 0.9478565	best: 0.9478565 (278)	total: 4.16s	remaining: 10.7s
279:	test: 0.9478628	best: 0.9478628 (279)	total: 4.17s	remaining: 10.7s
280:	test: 0.9478685	best: 0.9478685 (280)	total: 4.18s	remaining: 10.7s
281:	test: 0.9478674	best: 0.9478685 (280)	total: 4.19s	remaining: 10.7s
282:	test: 0.9478905	best: 0.9478905 (282)	total: 4.21s	remaining: 10.7s
283:	test: 0.9478948	best: 0.9478948 (283)	total: 4.22s	remaining: 10.6s
284:	test: 0.9478964	best: 0.9478964 (284)	total: 4.23s	remaining: 10.6s
285:	test: 0.9479028	best: 0.9479028 (285)	total: 4.25s	remaining: 10.6s
286:	test: 0.9479124	best: 0.9479124 (286)	total: 4.26s	remaining: 10.6s
287:	test: 0.9479190	best: 0.9479190 (287)	total: 4.27s	remaining: 10.6s
288:	test: 0.9479223	best: 0.9479223 (288)	total: 4.29s	remaining: 10.5s
289:	test: 0.9479288	best: 0.9479288 (289)	total: 4.3s	remaining: 10.5s
290:	test: 0.9479345	best: 0.9479345 (290)	total: 4.31s	remaining: 10.5s
291:	test: 0.9479424	best: 0.9479424 (291)	total: 4.32s	remaining: 10.5s
292:	test: 0.9479550	best: 0.9479550 (292)	total: 4.34s	remaining: 10.5s
293:	test: 0.9479578	best: 0.9479578 (293)	total: 4.35s	remaining: 10.4s
294:	test: 0.9479548	best: 0.9479578 (293)	total: 4.36s	remaining: 10.4s
295:	test: 0.9479617	best: 0.9479617 (295)	total: 4.38s	remaining: 10.4s
296:	test: 0.9479681	best: 0.9479681 (296)	total: 4.39s	remaining: 10.4s
297:	test: 0.9479734	best: 0.9479734 (297)	total: 4.4s	remaining: 10.4s
298:	test: 0.9479737	best: 0.9479737 (298)	total: 4.41s	remaining: 10.3s
299:	test: 0.9479737	best: 0.9479737 (298)	total: 4.42s	remaining: 10.3s
300:	test: 0.9479794	best: 0.9479794 (300)	total: 4.43s	remaining: 10.3s
301:	test: 0.9479804	best: 0.9479804 (301)	total: 4.45s	remaining: 10.3s
302:	test: 0.9479813	best: 0.9479813 (302)	total: 4.46s	remaining: 10.3s
303:	test: 0.9479897	best: 0.9479897 (303)	total: 4.47s	remaining: 10.2s
304:	test: 0.9479908	best: 0.9479908 (304)	total: 4.48s	remaining: 10.2s
305:	test: 0.9479910	best: 0.9479910 (305)	total: 4.5s	remaining: 10.2s
306:	test: 0.9479940	best: 0.9479940 (306)	total: 4.51s	remaining: 10.2s
307:	test: 0.9480037	best: 0.9480037 (307)	total: 4.52s	remaining: 10.2s
308:	test: 0.9480138	best: 0.9480138 (308)	total: 4.54s	remaining: 10.1s
309:	test: 0.9480148	best: 0.9480148 (309)	total: 4.55s	remaining: 10.1s
310:	test: 0.9480177	best: 0.9480177 (310)	total: 4.56s	remaining: 10.1s
311:	test: 0.9480207	best: 0.9480207 (311)	total: 4.57s	remaining: 10.1s
312:	test: 0.9480230	best: 0.9480230 (312)	total: 4.59s	remaining: 10.1s
313:	test: 0.9480241	best: 0.9480241 (313)	total: 4.6s	remaining: 10s
314:	test: 0.9480319	best: 0.9480319 (314)	total: 4.61s	remaining: 10s
315:	test: 0.9480411	best: 0.9480411 (315)	total: 4.62s	remaining: 10s
316:	test: 0.9480424	best: 0.9480424 (316)	total: 4.64s	remaining: 9.99s
317:	test: 0.9480440	best: 0.9480440 (317)	total: 4.65s	remaining: 9.97s
318:	test: 0.9480433	best: 0.9480440 (317)	total: 4.66s	remaining: 9.96s
