208:	test: 0.9465255	best: 0.9465256 (205)	total: 1.02s	remaining: 3.87s
209:	test: 0.9465255	best: 0.9465256 (205)	total: 1.03s	remaining: 3.86s
210:	test: 0.9465256	best: 0.9465256 (205)	total: 1.03s	remaining: 3.85s
211:	test: 0.9465256	best: 0.9465256 (211)	total: 1.03s	remaining: 3.84s
212:	test: 0.9465257	best: 0.9465257 (212)	total: 1.04s	remaining: 3.83s
213:	test: 0.9465257	best: 0.9465257 (212)	total: 1.04s	remaining: 3.82s
214:	test: 0.9465257	best: 0.9465257 (214)	total: 1.04s	remaining: 3.81s
215:	test: 0.9465257	best: 0.9465257 (215)	total: 1.05s	remaining: 3.8s
216:	test: 0.9465257	best: 0.9465257 (215)	total: 1.05s	remaining: 3.79s
217:	test: 0.9465258	best: 0.9465258 (217)	total: 1.05s	remaining: 3.78s
218:	test: 0.9465259	best: 0.9465259 (218)	total: 1.06s	remaining: 3.77s
219:	test: 0.9465260	best: 0.9465260 (219)	total: 1.06s	remaining: 3.76s
220:	test: 0.9465261	best: 0.9465261 (220)	total: 1.06s	remaining: 3.75s
221:	test: 0.9465261	best: 0.9465261 (220)	total: 1.07s	remaining: 3.74s
222:	test: 0.9465261	best: 0.9465261 (222)	total: 1.07s	remaining: 3.73s
223:	test: 0.9465264	best: 0.9465264 (223)	total: 1.07s	remaining: 3.72s
224:	test: 0.9465264	best: 0.9465264 (224)	total: 1.08s	remaining: 3.71s
225:	test: 0.9465265	best: 0.9465265 (225)	total: 1.08s	remaining: 3.71s
226:	test: 0.9465265	best: 0.9465265 (225)	total: 1.08s	remaining: 3.7s
227:	test: 0.9465265	best: 0.9465265 (225)	total: 1.09s	remaining: 3.69s
228:	test: 0.9465265	best: 0.9465265 (228)	total: 1.09s	remaining: 3.68s
229:	test: 0.9465265	best: 0.9465265 (229)	total: 1.1s	remaining: 3.67s
230:	test: 0.9465266	best: 0.9465266 (230)	total: 1.1s	remaining: 3.66s
231:	test: 0.9465266	best: 0.9465266 (230)	total: 1.1s	remaining: 3.65s
232:	test: 0.9465268	best: 0.9465268 (232)	total: 1.11s	remaining: 3.65s
233:	test: 0.9465268	best: 0.9465268 (233)	total: 1.11s	remaining: 3.64s
