209:	test: 0.9311202	best: 0.9311202 (209)	total: 509ms	remaining: 1.91s
210:	test: 0.9311636	best: 0.9311636 (210)	total: 512ms	remaining: 1.91s
211:	test: 0.9312485	best: 0.9312485 (211)	total: 514ms	remaining: 1.91s
212:	test: 0.9313490	best: 0.9313490 (212)	total: 516ms	remaining: 1.91s
213:	test: 0.9313905	best: 0.9313905 (213)	total: 518ms	remaining: 1.9s
214:	test: 0.9314251	best: 0.9314251 (214)	total: 521ms	remaining: 1.9s
215:	test: 0.9314266	best: 0.9314266 (215)	total: 523ms	remaining: 1.9s
216:	test: 0.9315520	best: 0.9315520 (216)	total: 526ms	remaining: 1.9s
217:	test: 0.9315568	best: 0.9315568 (217)	total: 528ms	remaining: 1.89s
218:	test: 0.9315554	best: 0.9315568 (217)	total: 530ms	remaining: 1.89s
219:	test: 0.9315541	best: 0.9315568 (217)	total: 532ms	remaining: 1.89s
220:	test: 0.9315420	best: 0.9315568 (217)	total: 534ms	remaining: 1.88s
221:	test: 0.9315724	best: 0.9315724 (221)	total: 536ms	remaining: 1.88s
222:	test: 0.9317153	best: 0.9317153 (222)	total: 538ms	remaining: 1.88s
223:	test: 0.9317486	best: 0.9317486 (223)	total: 540ms	remaining: 1.87s
224:	test: 0.9317658	best: 0.9317658 (224)	total: 542ms	remaining: 1.87s
225:	test: 0.9318051	best: 0.9318051 (225)	total: 545ms	remaining: 1.86s
226:	test: 0.9318210	best: 0.9318210 (226)	total: 547ms	remaining: 1.86s
227:	test: 0.9318293	best: 0.9318293 (227)	total: 549ms	remaining: 1.86s
228:	test: 0.9318765	best: 0.9318765 (228)	total: 551ms	remaining: 1.85s
229:	test: 0.9318871	best: 0.9318871 (229)	total: 553ms	remaining: 1.85s
230:	test: 0.9319441	best: 0.9319441 (230)	total: 557ms	remaining: 1.85s
231:	test: 0.9319713	best: 0.9319713 (231)	total: 559ms	remaining: 1.85s
232:	test: 0.9319905	best: 0.9319905 (232)	total: 561ms	remaining: 1.85s
233:	test: 0.9320270	best: 0.9320270 (233)	total: 563ms	remaining: 1.84s
234:	test: 0.9320350	best: 0.9320350 (234)	total: 565ms	remaining: 1.84s
235:	test: 0.9320318	best: 0.9320350 (234)	total: 568ms	remaining: 1.84s
236:	test: 0.9320599	best: 0.9320599 (236)	total: 570ms	remaining: 1.83s
237:	test: 0.9320782	best: 0.9320782 (237)	total: 572ms	remaining: 1.83s
238:	test: 0.9320682	best: 0.9320782 (237)	total: 574ms	remaining: 1.83s
239:	test: 0.9320695	best: 0.9320782 (237)	total: 576ms	remaining: 1.82s
240:	test: 0.9321131	best: 0.9321131 (240)	total: 578ms	remaining: 1.82s
241:	test: 0.9321063	best: 0.9321131 (240)	total: 580ms	remaining: 1.81s
242:	test: 0.9321529	best: 0.9321529 (242)	total: 582ms	remaining: 1.81s
243:	test: 0.9321430	best: 0.9321529 (242)	total: 584ms	remaining: 1.81s
244:	test: 0.9321410	best: 0.9321529 (242)	total: 586ms	remaining: 1.8s
245:	test: 0.9321415	best: 0.9321529 (242)	total: 588ms	remaining: 1.8s
246:	test: 0.9322008	best: 0.9322008 (246)	total: 590ms	remaining: 1.8s
247:	test: 0.9321999	best: 0.9322008 (246)	total: 592ms	remaining: 1.79s
248:	test: 0.9322120	best: 0.9322120 (248)	total: 594ms	remaining: 1.79s
249:	test: 0.9322157	best: 0.9322157 (249)	total: 596ms	remaining: 1.79s
250:	test: 0.9322420	best: 0.9322420 (250)	total: 598ms	remaining: 1.78s
251:	test: 0.9322565	best: 0.9322565 (251)	total: 600ms	remaining: 1.78s
252:	test: 0.9323940	best: 0.9323940 (252)	total: 602ms	remaining: 1.78s
253:	test: 0.9325039	best: 0.9325039 (253)	total: 604ms	remaining: 1.77s
254:	test: 0.9325025	best: 0.9325039 (253)	total: 606ms	remaining: 1.77s
255:	test: 0.9326226	best: 0.9326226 (255)	total: 608ms	remaining: 1.77s
256:	test: 0.9326731	best: 0.9326731 (256)	total: 611ms	remaining: 1.77s
257:	test: 0.9326889	best: 0.9326889 (257)	total: 613ms	remaining: 1.76s
258:	test: 0.9327343	best: 0.9327343 (258)	total: 615ms	remaining: 1.76s
259:	test: 0.9327313	best: 0.9327343 (258)	total: 617ms	remaining: 1.76s
260:	test: 0.9327439	best: 0.9327439 (260)	total: 619ms	remaining: 1.75s
261:	test: 0.9327426	best: 0.9327439 (260)	total: 622ms	remaining: 1.75s
262:	test: 0.9327439	best: 0.9327439 (260)	total: 624ms	remaining: 1.75s
263:	test: 0.9327473	best: 0.9327473 (263)	total: 626ms	remaining: 1.74s
264:	test: 0.9327857	best: 0.9327857 (264)	total: 628ms	remaining: 1.74s
265:	test: 0.9328058	best: 0.9328058 (265)	total: 630ms	remaining: 1.74s
266:	test: 0.9328076	best: 0.9328076 (266)	total: 632ms	remaining: 1.74s
267:	test: 0.9328220	best: 0.9328220 (267)	total: 634ms	remaining: 1.73s
268:	test: 0.9328250	best: 0.9328250 (268)	total: 636ms	remaining: 1.73s
269:	test: 0.9328211	best: 0.9328250 (268)	total: 638ms	remaining: 1.73s
270:	test: 0.9328618	best: 0.9328618 (270)	total: 640ms	remaining: 1.72s
271:	test: 0.9328658	best: 0.9328658 (271)	total: 643ms	remaining: 1.72s
272:	test: 0.9328643	best: 0.9328658 (271)	total: 645ms	remaining: 1.72s
273:	test: 0.9328624	best: 0.9328658 (271)	total: 647ms	remaining: 1.71s
274:	test: 0.9328832	best: 0.9328832 (274)	total: 649ms	remaining: 1.71s
275:	test: 0.9328867	best: 0.9328867 (275)	total: 651ms	remaining: 1.71s
276:	test: 0.9329198	best: 0.9329198 (276)	total: 653ms	remaining: 1.71s
277:	test: 0.9329287	best: 0.9329287 (277)	total: 655ms	remaining: 1.7s
278:	test: 0.9329310	best: 0.9329310 (278)	total: 657ms	remaining: 1.7s
279:	test: 0.9329332	best: 0.9329332 (279)	total: 659ms	remaining: 1.7s
280:	test: 0.9329424	best: 0.9329424 (280)	total: 662ms	remaining: 1.69s
281:	test: 0.9329479	best: 0.9329479 (281)	total: 664ms	remaining: 1.69s
282:	test: 0.9329456	best: 0.9329479 (281)	total: 666ms	remaining: 1.69s
283:	test: 0.9329734	best: 0.9329734 (283)	total: 668ms	remaining: 1.69s
284:	test: 0.9329787	best: 0.9329787 (284)	total: 670ms	remaining: 1.68s
285:	test: 0.9330164	best: 0.9330164 (285)	total: 673ms	remaining: 1.68s
286:	test: 0.9330605	best: 0.9330605 (286)	total: 675ms	remaining: 1.68s
287:	test: 0.9330621	best: 0.9330621 (287)	total: 677ms	remaining: 1.67s
288:	test: 0.9330488	best: 0.9330621 (287)	total: 679ms	remaining: 1.67s
289:	test: 0.9330367	best: 0.9330621 (287)	total: 681ms	remaining: 1.67s
290:	test: 0.9330746	best: 0.9330746 (290)	total: 684ms	remaining: 1.67s
291:	test: 0.9330894	best: 0.9330894 (291)	total: 686ms	remaining: 1.66s
292:	test: 0.9331225	best: 0.9331225 (292)	total: 688ms	remaining: 1.66s
293:	test: 0.9331203	best: 0.9331225 (292)	total: 690ms	remaining: 1.66s
294:	test: 0.9332118	best: 0.9332118 (294)	total: 692ms	remaining: 1.65s
