155:	test: 0.9476584	best: 0.9476584 (155)	total: 1.4s	remaining: 7.59s
156:	test: 0.9476583	best: 0.9476584 (155)	total: 1.41s	remaining: 7.56s
157:	test: 0.9476621	best: 0.9476621 (157)	total: 1.42s	remaining: 7.56s
158:	test: 0.9476621	best: 0.9476621 (158)	total: 1.42s	remaining: 7.52s
159:	test: 0.9476665	best: 0.9476665 (159)	total: 1.43s	remaining: 7.52s
160:	test: 0.9476665	best: 0.9476665 (159)	total: 1.44s	remaining: 7.51s
161:	test: 0.9476665	best: 0.9476665 (159)	total: 1.45s	remaining: 7.48s
[34m[1mwandb[39m[22m: Adding directory to artifact (./artifacts)... Done. 0.0s
162:	test: 0.9476730	best: 0.9476730 (162)	total: 1.46s	remaining: 7.47s
163:	test: 0.9476730	best: 0.9476730 (162)	total: 1.46s	remaining: 7.44s
164:	test: 0.9476845	best: 0.9476845 (164)	total: 1.47s	remaining: 7.46s
165:	test: 0.9476816	best: 0.9476845 (164)	total: 1.48s	remaining: 7.43s
166:	test: 0.9477053	best: 0.9477053 (166)	total: 1.49s	remaining: 7.43s
167:	test: 0.9477053	best: 0.9477053 (166)	total: 1.49s	remaining: 7.4s
168:	test: 0.9477052	best: 0.9477053 (166)	total: 1.5s	remaining: 7.37s
169:	test: 0.9476978	best: 0.9477053 (166)	total: 1.51s	remaining: 7.36s
170:	test: 0.9476934	best: 0.9477053 (166)	total: 1.52s	remaining: 7.36s
171:	test: 0.9476934	best: 0.9477053 (166)	total: 1.52s	remaining: 7.33s
172:	test: 0.9477256	best: 0.9477256 (172)	total: 1.53s	remaining: 7.33s
173:	test: 0.9477236	best: 0.9477256 (172)	total: 1.54s	remaining: 7.33s
174:	test: 0.9477236	best: 0.9477256 (172)	total: 1.55s	remaining: 7.29s
175:	test: 0.9477236	best: 0.9477256 (172)	total: 1.55s	remaining: 7.27s
176:	test: 0.9477235	best: 0.9477256 (172)	total: 1.56s	remaining: 7.24s
177:	test: 0.9477235	best: 0.9477256 (172)	total: 1.56s	remaining: 7.2s
178:	test: 0.9477366	best: 0.9477366 (178)	total: 1.57s	remaining: 7.2s
179:	test: 0.9477367	best: 0.9477367 (179)	total: 1.57s	remaining: 7.17s
180:	test: 0.9477367	best: 0.9477367 (179)	total: 1.58s	remaining: 7.14s
181:	test: 0.9477366	best: 0.9477367 (179)	total: 1.58s	remaining: 7.11s
182:	test: 0.9477367	best: 0.9477367 (179)	total: 1.58s	remaining: 7.08s
183:	test: 0.9477367	best: 0.9477367 (179)	total: 1.59s	remaining: 7.05s
184:	test: 0.9477367	best: 0.9477367 (179)	total: 1.59s	remaining: 7.02s
185:	test: 0.9477366	best: 0.9477367 (179)	total: 1.6s	remaining: 6.99s
186:	test: 0.9477366	best: 0.9477367 (179)	total: 1.6s	remaining: 6.96s
187:	test: 0.9477366	best: 0.9477367 (179)	total: 1.6s	remaining: 6.94s
188:	test: 0.9477367	best: 0.9477367 (179)	total: 1.61s	remaining: 6.92s
189:	test: 0.9477366	best: 0.9477367 (179)	total: 1.62s	remaining: 6.89s
190:	test: 0.9477366	best: 0.9477367 (179)	total: 1.62s	remaining: 6.87s
191:	test: 0.9477366	best: 0.9477367 (179)	total: 1.63s	remaining: 6.84s
192:	test: 0.9477367	best: 0.9477367 (192)	total: 1.63s	remaining: 6.81s
193:	test: 0.9477367	best: 0.9477367 (192)	total: 1.64s	remaining: 6.8s
194:	test: 0.9477368	best: 0.9477368 (194)	total: 1.64s	remaining: 6.77s
195:	test: 0.9477370	best: 0.9477370 (195)	total: 1.65s	remaining: 6.77s
196:	test: 0.9477370	best: 0.9477370 (196)	total: 1.65s	remaining: 6.74s
197:	test: 0.9477370	best: 0.9477370 (196)	total: 1.66s	remaining: 6.72s
198:	test: 0.9477371	best: 0.9477371 (198)	total: 1.66s	remaining: 6.69s
199:	test: 0.9477367	best: 0.9477371 (198)	total: 1.67s	remaining: 6.69s
200:	test: 0.9477367	best: 0.9477371 (198)	total: 1.68s	remaining: 6.67s
201:	test: 0.9477366	best: 0.9477371 (198)	total: 1.69s	remaining: 6.66s
202:	test: 0.9477366	best: 0.9477371 (198)	total: 1.69s	remaining: 6.64s
203:	test: 0.9477366	best: 0.9477371 (198)	total: 1.69s	remaining: 6.61s
204:	test: 0.9477366	best: 0.9477371 (198)	total: 1.7s	remaining: 6.59s
205:	test: 0.9477365	best: 0.9477371 (198)	total: 1.71s	remaining: 6.61s
206:	test: 0.9477365	best: 0.9477371 (198)	total: 1.72s	remaining: 6.58s
207:	test: 0.9477366	best: 0.9477371 (198)	total: 1.72s	remaining: 6.56s
208:	test: 0.9477366	best: 0.9477371 (198)	total: 1.73s	remaining: 6.54s
209:	test: 0.9477366	best: 0.9477371 (198)	total: 1.73s	remaining: 6.52s
210:	test: 0.9477366	best: 0.9477371 (198)	total: 1.74s	remaining: 6.5s
211:	test: 0.9477366	best: 0.9477371 (198)	total: 1.74s	remaining: 6.47s
212:	test: 0.9477365	best: 0.9477371 (198)	total: 1.74s	remaining: 6.45s
213:	test: 0.9477366	best: 0.9477371 (198)	total: 1.75s	remaining: 6.43s
214:	test: 0.9477366	best: 0.9477371 (198)	total: 1.76s	remaining: 6.44s
215:	test: 0.9477365	best: 0.9477371 (198)	total: 1.77s	remaining: 6.41s
216:	test: 0.9477365	best: 0.9477371 (198)	total: 1.77s	remaining: 6.39s
217:	test: 0.9477366	best: 0.9477371 (198)	total: 1.77s	remaining: 6.37s
218:	test: 0.9477366	best: 0.9477371 (198)	total: 1.78s	remaining: 6.37s
Stopped by overfitting detector  (20 iterations wait)
bestTest = 0.9477370562
bestIteration = 198
Shrink model to first 199 iterations.
