187:	test: 0.9466706	best: 0.9466706 (187)	total: 1.02s	remaining: 4.42s
188:	test: 0.9466706	best: 0.9466706 (187)	total: 1.03s	remaining: 4.41s
189:	test: 0.9466841	best: 0.9466841 (189)	total: 1.03s	remaining: 4.4s
190:	test: 0.9466841	best: 0.9466841 (189)	total: 1.04s	remaining: 4.39s
191:	test: 0.9466929	best: 0.9466929 (191)	total: 1.04s	remaining: 4.39s
192:	test: 0.9467147	best: 0.9467147 (192)	total: 1.05s	remaining: 4.38s
193:	test: 0.9467147	best: 0.9467147 (192)	total: 1.05s	remaining: 4.37s
194:	test: 0.9467283	best: 0.9467283 (194)	total: 1.06s	remaining: 4.36s
195:	test: 0.9467434	best: 0.9467434 (195)	total: 1.06s	remaining: 4.36s
196:	test: 0.9467557	best: 0.9467557 (196)	total: 1.07s	remaining: 4.35s
197:	test: 0.9467651	best: 0.9467651 (197)	total: 1.07s	remaining: 4.35s
198:	test: 0.9467651	best: 0.9467651 (197)	total: 1.08s	remaining: 4.34s
199:	test: 0.9467694	best: 0.9467694 (199)	total: 1.08s	remaining: 4.33s
200:	test: 0.9467830	best: 0.9467830 (200)	total: 1.09s	remaining: 4.33s
201:	test: 0.9467873	best: 0.9467873 (201)	total: 1.09s	remaining: 4.32s
202:	test: 0.9467917	best: 0.9467917 (202)	total: 1.1s	remaining: 4.32s
203:	test: 0.9468021	best: 0.9468021 (203)	total: 1.1s	remaining: 4.31s
204:	test: 0.9468020	best: 0.9468021 (203)	total: 1.11s	remaining: 4.31s
205:	test: 0.9468019	best: 0.9468021 (203)	total: 1.11s	remaining: 4.3s
206:	test: 0.9468019	best: 0.9468021 (203)	total: 1.12s	remaining: 4.29s
207:	test: 0.9468019	best: 0.9468021 (203)	total: 1.12s	remaining: 4.28s
208:	test: 0.9468190	best: 0.9468190 (208)	total: 1.13s	remaining: 4.28s
209:	test: 0.9468187	best: 0.9468190 (208)	total: 1.14s	remaining: 4.27s
