171:	test: 0.8028811	best: 0.8028811 (171)	total: 8.98s	remaining: 43.3s
172:	test: 0.8028983	best: 0.8028983 (172)	total: 9.04s	remaining: 43.2s
173:	test: 0.8028951	best: 0.8028983 (172)	total: 9.09s	remaining: 43.1s
174:	test: 0.8029075	best: 0.8029075 (174)	total: 9.14s	remaining: 43.1s
175:	test: 0.8029157	best: 0.8029157 (175)	total: 9.19s	remaining: 43s
176:	test: 0.8029392	best: 0.8029392 (176)	total: 9.24s	remaining: 43s
177:	test: 0.8029375	best: 0.8029392 (176)	total: 9.29s	remaining: 42.9s
178:	test: 0.8029385	best: 0.8029392 (176)	total: 9.34s	remaining: 42.9s
179:	test: 0.8029455	best: 0.8029455 (179)	total: 9.39s	remaining: 42.8s
180:	test: 0.8029518	best: 0.8029518 (180)	total: 9.45s	remaining: 42.7s
181:	test: 0.8029617	best: 0.8029617 (181)	total: 9.49s	remaining: 42.7s
182:	test: 0.8029711	best: 0.8029711 (182)	total: 9.54s	remaining: 42.6s
183:	test: 0.8029726	best: 0.8029726 (183)	total: 9.59s	remaining: 42.5s
184:	test: 0.8029742	best: 0.8029742 (184)	total: 9.64s	remaining: 42.5s
185:	test: 0.8029803	best: 0.8029803 (185)	total: 9.7s	remaining: 42.4s
186:	test: 0.8030007	best: 0.8030007 (186)	total: 9.75s	remaining: 42.4s
187:	test: 0.8030014	best: 0.8030014 (187)	total: 9.8s	remaining: 42.3s
188:	test: 0.8030110	best: 0.8030110 (188)	total: 9.85s	remaining: 42.3s
189:	test: 0.8030261	best: 0.8030261 (189)	total: 9.9s	remaining: 42.2s
190:	test: 0.8030206	best: 0.8030261 (189)	total: 9.95s	remaining: 42.2s
191:	test: 0.8030202	best: 0.8030261 (189)	total: 10s	remaining: 42.1s
192:	test: 0.8030042	best: 0.8030261 (189)	total: 10.1s	remaining: 42s
193:	test: 0.8030076	best: 0.8030261 (189)	total: 10.1s	remaining: 42s
194:	test: 0.8030115	best: 0.8030261 (189)	total: 10.1s	remaining: 41.9s
195:	test: 0.8030223	best: 0.8030261 (189)	total: 10.2s	remaining: 41.8s
196:	test: 0.8030386	best: 0.8030386 (196)	total: 10.3s	remaining: 41.8s
197:	test: 0.8030346	best: 0.8030386 (196)	total: 10.3s	remaining: 41.8s
198:	test: 0.8030309	best: 0.8030386 (196)	total: 10.4s	remaining: 41.7s
199:	test: 0.8030579	best: 0.8030579 (199)	total: 10.4s	remaining: 41.7s
200:	test: 0.8030555	best: 0.8030579 (199)	total: 10.5s	remaining: 41.6s
201:	test: 0.8030624	best: 0.8030624 (201)	total: 10.5s	remaining: 41.5s
202:	test: 0.8030619	best: 0.8030624 (201)	total: 10.6s	remaining: 41.5s
203:	test: 0.8030619	best: 0.8030624 (201)	total: 10.6s	remaining: 41.3s
204:	test: 0.8030640	best: 0.8030640 (204)	total: 10.6s	remaining: 41.3s
205:	test: 0.8030637	best: 0.8030640 (204)	total: 10.7s	remaining: 41.2s
206:	test: 0.8030760	best: 0.8030760 (206)	total: 10.7s	remaining: 41.2s
207:	test: 0.8030657	best: 0.8030760 (206)	total: 10.8s	remaining: 41.1s
208:	test: 0.8030805	best: 0.8030805 (208)	total: 10.8s	remaining: 41s
209:	test: 0.8031050	best: 0.8031050 (209)	total: 10.9s	remaining: 41s
210:	test: 0.8031201	best: 0.8031201 (210)	total: 10.9s	remaining: 40.9s
211:	test: 0.8031201	best: 0.8031201 (210)	total: 11s	remaining: 40.9s
212:	test: 0.8031210	best: 0.8031210 (212)	total: 11.1s	remaining: 40.8s
213:	test: 0.8031205	best: 0.8031210 (212)	total: 11.1s	remaining: 40.7s
214:	test: 0.8031226	best: 0.8031226 (214)	total: 11.1s	remaining: 40.6s
215:	test: 0.8031324	best: 0.8031324 (215)	total: 11.2s	remaining: 40.6s
216:	test: 0.8031251	best: 0.8031324 (215)	total: 11.2s	remaining: 40.5s
217:	test: 0.8031261	best: 0.8031324 (215)	total: 11.3s	remaining: 40.5s
218:	test: 0.8031366	best: 0.8031366 (218)	total: 11.3s	remaining: 40.5s
219:	test: 0.8031368	best: 0.8031368 (219)	total: 11.4s	remaining: 40.4s
