299:	test: 0.9482803	best: 0.9482809 (294)	total: 1.32s	remaining: 3.08s
300:	test: 0.9482859	best: 0.9482859 (300)	total: 1.32s	remaining: 3.08s
301:	test: 0.9482858	best: 0.9482859 (300)	total: 1.33s	remaining: 3.07s
302:	test: 0.9483088	best: 0.9483088 (302)	total: 1.33s	remaining: 3.07s
303:	test: 0.9483088	best: 0.9483088 (302)	total: 1.34s	remaining: 3.06s
304:	test: 0.9483088	best: 0.9483088 (302)	total: 1.34s	remaining: 3.06s
305:	test: 0.9483275	best: 0.9483275 (305)	total: 1.34s	remaining: 3.05s
306:	test: 0.9483208	best: 0.9483275 (305)	total: 1.35s	remaining: 3.05s
307:	test: 0.9483208	best: 0.9483275 (305)	total: 1.35s	remaining: 3.04s
308:	test: 0.9483207	best: 0.9483275 (305)	total: 1.36s	remaining: 3.04s
309:	test: 0.9483369	best: 0.9483369 (309)	total: 1.36s	remaining: 3.03s
310:	test: 0.9483430	best: 0.9483430 (310)	total: 1.37s	remaining: 3.03s
311:	test: 0.9483430	best: 0.9483430 (311)	total: 1.37s	remaining: 3.02s
312:	test: 0.9483429	best: 0.9483430 (311)	total: 1.38s	remaining: 3.02s
313:	test: 0.9483429	best: 0.9483430 (311)	total: 1.38s	remaining: 3.01s
314:	test: 0.9483430	best: 0.9483430 (311)	total: 1.38s	remaining: 3.01s
315:	test: 0.9483430	best: 0.9483430 (311)	total: 1.39s	remaining: 3s
316:	test: 0.9483430	best: 0.9483430 (311)	total: 1.39s	remaining: 3s
317:	test: 0.9483602	best: 0.9483602 (317)	total: 1.4s	remaining: 3s
318:	test: 0.9483603	best: 0.9483603 (318)	total: 1.4s	remaining: 2.99s
319:	test: 0.9483724	best: 0.9483724 (319)	total: 1.41s	remaining: 2.99s
320:	test: 0.9483724	best: 0.9483724 (320)	total: 1.41s	remaining: 2.98s
321:	test: 0.9483722	best: 0.9483724 (320)	total: 1.42s	remaining: 2.98s
322:	test: 0.9483722	best: 0.9483724 (320)	total: 1.42s	remaining: 2.97s
323:	test: 0.9483722	best: 0.9483724 (320)	total: 1.42s	remaining: 2.97s
324:	test: 0.9483721	best: 0.9483724 (320)	total: 1.43s	remaining: 2.96s
325:	test: 0.9483718	best: 0.9483724 (320)	total: 1.43s	remaining: 2.96s
326:	test: 0.9483718	best: 0.9483724 (320)	total: 1.44s	remaining: 2.96s
327:	test: 0.9483717	best: 0.9483724 (320)	total: 1.44s	remaining: 2.95s
328:	test: 0.9483717	best: 0.9483724 (320)	total: 1.45s	remaining: 2.95s
329:	test: 0.9483717	best: 0.9483724 (320)	total: 1.45s	remaining: 2.94s
