133:	test: 0.9378485	best: 0.9378485 (133)	total: 480ms	remaining: 3.1s
134:	test: 0.9378483	best: 0.9378485 (133)	total: 484ms	remaining: 3.1s
135:	test: 0.9378491	best: 0.9378491 (135)	total: 487ms	remaining: 3.09s
136:	test: 0.9378497	best: 0.9378497 (136)	total: 490ms	remaining: 3.09s
137:	test: 0.9378491	best: 0.9378497 (136)	total: 494ms	remaining: 3.08s
138:	test: 0.9378491	best: 0.9378497 (136)	total: 497ms	remaining: 3.08s
139:	test: 0.9378501	best: 0.9378501 (139)	total: 500ms	remaining: 3.07s
140:	test: 0.9378404	best: 0.9378501 (139)	total: 503ms	remaining: 3.06s
141:	test: 0.9378404	best: 0.9378501 (139)	total: 506ms	remaining: 3.06s
142:	test: 0.9379279	best: 0.9379279 (142)	total: 510ms	remaining: 3.05s
143:	test: 0.9379275	best: 0.9379279 (142)	total: 513ms	remaining: 3.05s
144:	test: 0.9379270	best: 0.9379279 (142)	total: 516ms	remaining: 3.04s
145:	test: 0.9379278	best: 0.9379279 (142)	total: 520ms	remaining: 3.04s
146:	test: 0.9379277	best: 0.9379279 (142)	total: 523ms	remaining: 3.04s
147:	test: 0.9379277	best: 0.9379279 (142)	total: 526ms	remaining: 3.02s
148:	test: 0.9379280	best: 0.9379280 (148)	total: 529ms	remaining: 3.02s
149:	test: 0.9379284	best: 0.9379284 (149)	total: 533ms	remaining: 3.02s
150:	test: 0.9379284	best: 0.9379284 (149)	total: 536ms	remaining: 3.01s
151:	test: 0.9379280	best: 0.9379284 (149)	total: 539ms	remaining: 3s
152:	test: 0.9379282	best: 0.9379284 (149)	total: 542ms	remaining: 3s
153:	test: 0.9379361	best: 0.9379361 (153)	total: 545ms	remaining: 3s
154:	test: 0.9379356	best: 0.9379361 (153)	total: 548ms	remaining: 2.99s
155:	test: 0.9379325	best: 0.9379361 (153)	total: 551ms	remaining: 2.98s
156:	test: 0.9380226	best: 0.9380226 (156)	total: 555ms	remaining: 2.98s
157:	test: 0.9380795	best: 0.9380795 (157)	total: 558ms	remaining: 2.97s
158:	test: 0.9380780	best: 0.9380795 (157)	total: 561ms	remaining: 2.97s
159:	test: 0.9380686	best: 0.9380795 (157)	total: 565ms	remaining: 2.96s
160:	test: 0.9380682	best: 0.9380795 (157)	total: 569ms	remaining: 2.96s
161:	test: 0.9380888	best: 0.9380888 (161)	total: 573ms	remaining: 2.96s
162:	test: 0.9380888	best: 0.9380888 (161)	total: 576ms	remaining: 2.96s
163:	test: 0.9380888	best: 0.9380888 (161)	total: 580ms	remaining: 2.96s
164:	test: 0.9381647	best: 0.9381647 (164)	total: 583ms	remaining: 2.95s
165:	test: 0.9381794	best: 0.9381794 (165)	total: 586ms	remaining: 2.94s
166:	test: 0.9381705	best: 0.9381794 (165)	total: 590ms	remaining: 2.94s
167:	test: 0.9381877	best: 0.9381877 (167)	total: 594ms	remaining: 2.94s
168:	test: 0.9381780	best: 0.9381877 (167)	total: 596ms	remaining: 2.93s
169:	test: 0.9381780	best: 0.9381877 (167)	total: 599ms	remaining: 2.92s
170:	test: 0.9381908	best: 0.9381908 (170)	total: 603ms	remaining: 2.92s
171:	test: 0.9382472	best: 0.9382472 (171)	total: 606ms	remaining: 2.92s
172:	test: 0.9382499	best: 0.9382499 (172)	total: 609ms	remaining: 2.91s
173:	test: 0.9382659	best: 0.9382659 (173)	total: 612ms	remaining: 2.9s
174:	test: 0.9383185	best: 0.9383185 (174)	total: 616ms	remaining: 2.9s
175:	test: 0.9383442	best: 0.9383442 (175)	total: 619ms	remaining: 2.9s
176:	test: 0.9383560	best: 0.9383560 (176)	total: 622ms	remaining: 2.89s
177:	test: 0.9383655	best: 0.9383655 (177)	total: 625ms	remaining: 2.88s
178:	test: 0.9384274	best: 0.9384274 (178)	total: 628ms	remaining: 2.88s
179:	test: 0.9384236	best: 0.9384274 (178)	total: 631ms	remaining: 2.87s
180:	test: 0.9384251	best: 0.9384274 (178)	total: 634ms	remaining: 2.87s
181:	test: 0.9384837	best: 0.9384837 (181)	total: 637ms	remaining: 2.86s
182:	test: 0.9384906	best: 0.9384906 (182)	total: 641ms	remaining: 2.86s
183:	test: 0.9384983	best: 0.9384983 (183)	total: 644ms	remaining: 2.85s
184:	test: 0.9385091	best: 0.9385091 (184)	total: 647ms	remaining: 2.85s
185:	test: 0.9385089	best: 0.9385091 (184)	total: 651ms	remaining: 2.85s
186:	test: 0.9385740	best: 0.9385740 (186)	total: 655ms	remaining: 2.85s
187:	test: 0.9385741	best: 0.9385741 (187)	total: 657ms	remaining: 2.84s
188:	test: 0.9385740	best: 0.9385741 (187)	total: 660ms	remaining: 2.83s
189:	test: 0.9385745	best: 0.9385745 (189)	total: 664ms	remaining: 2.83s
190:	test: 0.9385826	best: 0.9385826 (190)	total: 667ms	remaining: 2.83s
191:	test: 0.9385823	best: 0.9385826 (190)	total: 670ms	remaining: 2.82s
192:	test: 0.9385818	best: 0.9385826 (190)	total: 675ms	remaining: 2.82s
193:	test: 0.9386289	best: 0.9386289 (193)	total: 678ms	remaining: 2.82s
194:	test: 0.9386295	best: 0.9386295 (194)	total: 681ms	remaining: 2.81s
195:	test: 0.9387169	best: 0.9387169 (195)	total: 684ms	remaining: 2.81s
196:	test: 0.9387661	best: 0.9387661 (196)	total: 687ms	remaining: 2.8s
197:	test: 0.9387728	best: 0.9387728 (197)	total: 691ms	remaining: 2.8s
198:	test: 0.9387789	best: 0.9387789 (198)	total: 694ms	remaining: 2.79s
199:	test: 0.9388205	best: 0.9388205 (199)	total: 697ms	remaining: 2.79s
200:	test: 0.9388262	best: 0.9388262 (200)	total: 700ms	remaining: 2.78s
201:	test: 0.9388257	best: 0.9388262 (200)	total: 705ms	remaining: 2.78s
202:	test: 0.9388401	best: 0.9388401 (202)	total: 708ms	remaining: 2.78s
203:	test: 0.9388401	best: 0.9388401 (202)	total: 710ms	remaining: 2.77s
204:	test: 0.9388439	best: 0.9388439 (204)	total: 714ms	remaining: 2.77s
205:	test: 0.9388387	best: 0.9388439 (204)	total: 717ms	remaining: 2.76s
206:	test: 0.9388776	best: 0.9388776 (206)	total: 720ms	remaining: 2.76s
207:	test: 0.9388675	best: 0.9388776 (206)	total: 723ms	remaining: 2.75s
208:	test: 0.9388732	best: 0.9388776 (206)	total: 728ms	remaining: 2.75s
209:	test: 0.9389244	best: 0.9389244 (209)	total: 731ms	remaining: 2.75s
210:	test: 0.9389576	best: 0.9389576 (210)	total: 733ms	remaining: 2.74s
211:	test: 0.9389682	best: 0.9389682 (211)	total: 737ms	remaining: 2.74s
212:	test: 0.9389729	best: 0.9389729 (212)	total: 740ms	remaining: 2.73s
213:	test: 0.9389779	best: 0.9389779 (213)	total: 743ms	remaining: 2.73s
214:	test: 0.9389864	best: 0.9389864 (214)	total: 746ms	remaining: 2.73s
215:	test: 0.9389891	best: 0.9389891 (215)	total: 750ms	remaining: 2.72s
216:	test: 0.9389891	best: 0.9389891 (216)	total: 753ms	remaining: 2.72s
217:	test: 0.9389931	best: 0.9389931 (217)	total: 756ms	remaining: 2.71s
218:	test: 0.9389928	best: 0.9389931 (217)	total: 759ms	remaining: 2.71s
219:	test: 0.9390082	best: 0.9390082 (219)	total: 763ms	remaining: 2.7s
220:	test: 0.9390458	best: 0.9390458 (220)	total: 766ms	remaining: 2.7s
221:	test: 0.9390456	best: 0.9390458 (220)	total: 769ms	remaining: 2.69s
222:	test: 0.9390420	best: 0.9390458 (220)	total: 772ms	remaining: 2.69s
223:	test: 0.9390276	best: 0.9390458 (220)	total: 775ms	remaining: 2.69s
224:	test: 0.9390563	best: 0.9390563 (224)	total: 778ms	remaining: 2.68s
225:	test: 0.9390563	best: 0.9390563 (224)	total: 781ms	remaining: 2.67s
226:	test: 0.9390610	best: 0.9390610 (226)	total: 784ms	remaining: 2.67s
227:	test: 0.9390610	best: 0.9390610 (227)	total: 788ms	remaining: 2.67s
228:	test: 0.9390806	best: 0.9390806 (228)	total: 790ms	remaining: 2.66s
229:	test: 0.9390838	best: 0.9390838 (229)	total: 794ms	remaining: 2.66s
230:	test: 0.9391240	best: 0.9391240 (230)	total: 798ms	remaining: 2.66s
231:	test: 0.9391238	best: 0.9391240 (230)	total: 801ms	remaining: 2.65s
232:	test: 0.9391236	best: 0.9391240 (230)	total: 804ms	remaining: 2.65s
233:	test: 0.9391236	best: 0.9391240 (230)	total: 808ms	remaining: 2.64s
234:	test: 0.9391236	best: 0.9391240 (230)	total: 810ms	remaining: 2.64s
235:	test: 0.9391620	best: 0.9391620 (235)	total: 813ms	remaining: 2.63s
236:	test: 0.9391620	best: 0.9391620 (235)	total: 817ms	remaining: 2.63s
237:	test: 0.9391864	best: 0.9391864 (237)	total: 820ms	remaining: 2.63s
238:	test: 0.9391880	best: 0.9391880 (238)	total: 824ms	remaining: 2.62s
239:	test: 0.9391880	best: 0.9391880 (238)	total: 827ms	remaining: 2.62s
240:	test: 0.9391880	best: 0.9391880 (238)	total: 830ms	remaining: 2.61s
241:	test: 0.9391835	best: 0.9391880 (238)	total: 833ms	remaining: 2.61s
242:	test: 0.9391941	best: 0.9391941 (242)	total: 836ms	remaining: 2.6s
243:	test: 0.9391925	best: 0.9391941 (242)	total: 839ms	remaining: 2.6s
244:	test: 0.9392488	best: 0.9392488 (244)	total: 842ms	remaining: 2.6s
245:	test: 0.9392488	best: 0.9392488 (244)	total: 845ms	remaining: 2.59s
246:	test: 0.9392889	best: 0.9392889 (246)	total: 848ms	remaining: 2.58s
